"pIC50","APC2D1_N_N","APC2D2_C_O","APC2D2_C_S","APC2D2_N_N","APC2D2_N_O","APC2D2_O_O","APC2D2_F_X","APC2D3_N_N","APC2D3_N_O","APC2D3_N_F","APC2D3_N_Cl","APC2D3_O_O","APC2D3_X_X","APC2D4_C_N","APC2D4_N_N","APC2D4_N_O","APC2D4_N_S","APC2D4_N_Cl","APC2D4_N_X","APC2D4_O_O","APC2D4_F_F","APC2D5_C_X","APC2D5_N_N","APC2D5_N_O","APC2D5_N_F","APC2D5_N_Cl","APC2D5_O_O","APC2D5_O_Cl","APC2D5_O_X","APC2D6_C_O","APC2D6_N_N","APC2D6_N_O","APC2D6_N_Cl","APC2D6_N_X","APC2D6_O_O","APC2D6_O_X","APC2D7_C_S","APC2D7_N_N","APC2D7_N_O","APC2D7_N_F","APC2D7_N_Cl","APC2D7_O_F","APC2D7_O_Cl","APC2D8_C_N","APC2D8_C_S","APC2D8_C_Cl","APC2D8_N_N","APC2D8_N_O","APC2D8_N_F","APC2D8_O_O","APC2D8_O_X","APC2D9_C_O","APC2D9_N_N","APC2D9_N_O","APC2D9_N_F","APC2D9_N_Cl","APC2D9_O_O","APC2D9_O_X","APC2D10_C_C","APC2D10_C_N","APC2D10_C_Cl","APC2D10_N_N","APC2D10_N_O","APC2D10_N_F","APC2D10_O_O","APC2D10_O_X"
7.82390874094432,0,5,2,0,1,1,3,0,0,2,0,0,0,3,0,0,1,0,0,0,1,12,0,2,0,0,2,0,2,5,0,0,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,1,0,0,4,5,0,0,0,0,0,0,10,0,0,0,0,3,1,0
7.23657200643706,0,7,0,0,1,1,3,0,0,2,0,0,2,3,0,1,0,0,2,3,2,18,0,2,0,0,2,0,2,7,0,0,0,0,0,4,0,0,0,0,0,4,0,1,0,0,0,1,0,0,6,6,0,0,0,0,0,4,10,0,0,0,0,3,1,0
8.39794000867204,0,5,2,0,1,1,3,0,0,2,0,0,2,3,0,0,1,0,2,0,2,18,0,2,0,0,2,0,2,5,0,0,0,0,0,4,2,0,0,0,0,2,0,1,1,0,0,1,0,0,4,5,0,0,0,0,0,4,10,0,0,0,0,3,1,0
5.69897000433602,0,6,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,1,0,0,0,0,2,0
6.89619627904404,0,6,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,4,0,3,0,0,2,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,4,9,1,0,0,0,0,2,0
6.7619538968712,0,6,2,0,1,1,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,4,0,3,0,0,2,0,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,5,0,0,0,0,0,4,8,1,0,0,0,0,2,0
6.97881070093006,0,6,2,0,1,1,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,6,0,3,0,0,2,0,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,5,0,0,1,1,0,4,8,1,1,0,0,0,2,0
7.95860731484177,0,6,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,4,0,3,0,0,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,6,0,0,1,1,0,2,9,1,1,0,0,0,2,0
7.38721614328026,0,8,0,0,1,1,0,0,0,0,0,0,0,3,0,1,0,1,1,3,0,4,0,3,0,0,2,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,1,5,0,0,1,1,1,2,8,1,1,0,0,0,2,0
6.95860731484177,0,6,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,6,0,3,0,0,2,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,6,0,0,1,1,0,4,9,1,1,0,0,0,2,0
6.16749108729376,0,7,0,0,1,1,0,0,0,1,0,0,0,4,0,0,0,0,0,2,0,3,0,3,0,0,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,6,0,0,0,0,0,0,12,0,0,0,0,0,1,0
5.83564714421556,0,7,0,0,1,1,0,0,0,1,0,0,0,4,0,1,0,0,0,1,0,3,0,2,0,0,4,0,1,7,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,2,6,0,0,0,0,0,0,12,0,0,0,0,0,1,0
