"pIC50","SubFPC1","SubFPC2","SubFPC3","SubFPC5","SubFPC9","SubFPC13","SubFPC18","SubFPC49","SubFPC84","SubFPC85","SubFPC88","SubFPC100","SubFPC133","SubFPC135","SubFPC136","SubFPC137","SubFPC171","SubFPC172","SubFPC179","SubFPC180","SubFPC183","SubFPC275","SubFPC279","SubFPC287","SubFPC295","SubFPC302","SubFPC303","SubFPC307"
4.82681373158773,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,3,3,2,10,3,0,17
4.73802380860219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,15
4.75080164260889,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,13
4.79371395558757,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,2,4,3,0,14
4.80631897045872,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,6,4,3,0,18
4.88572270343841,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,3,5,4,1,15
4.9072793553159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,1,0,14
5.16557929631847,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,1,2,0,2,9,4,0,15
5.21752737583371,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,5,1,0,0,0,0,0,0,7,4,4,1,16
5.40230481407449,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,17
5.48148606012211,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,2,6,3,0,17
5.56224943717961,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,3,0,6,8,3,2,22
5.73754891026957,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,0,0,1,2,0,2,7,3,0,15
5.89619627904404,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,1,2,0,2,9,4,0,17
6.10790539730952,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,17
6.25963731050576,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,3,3,5,1,16
6.46852108295774,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,2,0,2,7,4,0,16
7.88605664769316,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,0,0,10,4,0,12
4.88605664769316,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,10,4,0,12
4.52287874528034,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,10,3,0,12
7.29242982390206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,0,0,10,3,0,12
4.74472749489669,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,0,0,10,3,0,12
5.18708664335714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,0,0,10,3,0,12
4.05060999335509,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,10,3,0,12
5.02227639471115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,11,4,0,13
